                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     88,                0.00913,                 1.1778,                 1.2278,                0.98889,                0.96594,                0.98202,                0.85916,                0.00739,                0.57331,                0.99702,              0.0028467,              0.0028467,              0.0028467
                     89,                0.00903,                 1.1667,                 1.2175,                0.98697,                0.96602,                0.98191,                0.86093,                0.00733,                0.56935,                0.99747,               0.002822,               0.002822,               0.002822
                     90,                0.00906,                  1.166,                 1.2255,                0.98614,                0.96649,                0.98209,                0.86303,                0.00727,                0.56451,                0.99947,              0.0027972,              0.0027972,              0.0027972
                     91,                0.00901,                 1.1482,                 1.2169,                0.98839,                0.96538,                0.98163,                0.86313,                0.00727,                0.56509,                 1.0004,              0.0027725,              0.0027725,              0.0027725
                     92,                0.00896,                 1.1465,                  1.211,                0.98888,                0.96647,                0.98211,                0.86439,                0.00722,                0.56367,                0.99952,              0.0027477,              0.0027477,              0.0027477
                     93,                0.00896,                 1.1383,                 1.2072,                0.98821,                0.96382,                0.98091,                0.86447,                 0.0072,                0.56979,                0.99554,               0.002723,               0.002723,               0.002723
                     94,                0.00898,                 1.1394,                 1.2104,                0.98724,                0.96473,                0.98099,                0.86579,                0.00715,                0.57211,                0.99476,              0.0026982,              0.0026982,              0.0026982
                     95,                0.00902,                 1.1302,                 1.2121,                0.98729,                0.96637,                0.98161,                0.86565,                0.00721,                0.57184,                0.99705,              0.0026735,              0.0026735,              0.0026735
                     96,                0.00892,                 1.1218,                 1.2107,                0.98882,                0.96793,                0.98222,                0.86404,                0.00728,                0.56582,                0.99803,              0.0026488,              0.0026488,              0.0026488
                     97,                0.00895,                 1.1287,                 1.2039,                0.98954,                0.96932,                0.98315,                0.86556,                0.00725,                0.56497,                0.99297,               0.002624,               0.002624,               0.002624
                     98,                0.00897,                  1.124,                 1.2099,                0.99008,                0.96885,                0.98283,                0.86524,                0.00722,                0.56423,                0.99012,              0.0025993,              0.0025993,              0.0025993
                     99,                0.00882,                 1.1014,                 1.1933,                0.98803,                0.97032,                0.98354,                0.86663,                0.00723,                0.56459,                0.98869,              0.0025745,              0.0025745,              0.0025745
                    100,                0.00893,                 1.1346,                 1.2102,                0.98812,                0.97036,                0.98335,                0.86624,                 0.0072,                0.56349,                0.98698,              0.0025497,              0.0025497,              0.0025497
                    101,                0.00883,                 1.1103,                 1.2109,                0.98965,                0.96922,                0.98287,                 0.8668,                0.00715,                0.56027,                0.98724,               0.002525,               0.002525,               0.002525
                    102,                0.00882,                 1.1163,                 1.2111,                0.99025,                0.96856,                0.98272,                0.86806,                0.00712,                0.55851,                0.98835,              0.0025002,              0.0025002,              0.0025002
                    103,                0.00884,                 1.1008,                 1.2022,                0.99056,                0.96958,                0.98333,                0.87023,                0.00708,                0.55491,                0.98677,              0.0024755,              0.0024755,              0.0024755
                    104,                0.00874,                 1.0944,                 1.1896,                0.99003,                0.96967,                0.98332,                 0.8698,                0.00706,                0.55322,                0.98382,              0.0024507,              0.0024507,              0.0024507
                    105,                0.00876,                 1.0864,                 1.1857,                0.99048,                0.96873,                 0.9827,                0.87027,                0.00702,                0.55246,                0.98183,               0.002426,               0.002426,               0.002426
                    106,                0.00873,                 1.0834,                 1.1822,                0.99103,                 0.9692,                0.98301,                0.87086,                0.00702,                0.54969,                0.98028,              0.0024013,              0.0024013,              0.0024013
                    107,                 0.0087,                 1.0914,                  1.184,                0.99102,                0.96873,                0.98273,                0.87056,                0.00701,                0.54949,                0.97831,              0.0023765,              0.0023765,              0.0023765
                    108,                0.00869,                 1.0885,                 1.1688,                0.99151,                0.96991,                0.98316,                0.87062,                0.00699,                0.54779,                0.97367,              0.0023518,              0.0023518,              0.0023518
                    109,                0.00872,                 1.0774,                   1.17,                0.99202,                0.97038,                0.98365,                0.87295,                0.00692,                0.54462,                0.97018,               0.002327,               0.002327,               0.002327
                    110,                0.00872,                 1.0768,                 1.1742,                0.99202,                0.97053,                0.98369,                0.87462,                 0.0069,                0.54219,                0.96712,              0.0023023,              0.0023023,              0.0023023
                    111,                 0.0087,                 1.0801,                 1.1742,                0.99202,                0.97053,                0.98372,                0.87467,                0.00688,                0.54208,                0.96453,              0.0022775,              0.0022775,              0.0022775
                    112,                0.00867,                 1.0885,                 1.1768,                0.99202,                0.97053,                0.98382,                0.87557,                0.00687,                0.54145,                0.96306,              0.0022527,              0.0022527,              0.0022527
                    113,                0.00862,                   1.08,                 1.1876,                0.99202,                0.97053,                0.98379,                0.87629,                0.00687,                 0.5397,                0.96348,               0.002228,               0.002228,               0.002228
                    114,                0.00863,                  1.065,                 1.1765,                0.99256,                0.97053,                 0.9839,                0.87664,                0.00685,                0.53659,                0.96273,              0.0022033,              0.0022033,              0.0022033
                    115,                0.00859,                 1.0634,                 1.1826,                0.99255,                0.97061,                0.98397,                 0.8764,                0.00682,                0.53429,                0.96199,              0.0021785,              0.0021785,              0.0021785
                    116,                0.00858,                  1.059,                 1.1805,                0.99318,                0.97108,                 0.9841,                0.87798,                 0.0068,                0.53328,                0.96126,              0.0021538,              0.0021538,              0.0021538
                    117,                0.00856,                 1.0778,                 1.1788,                0.99201,                0.97254,                0.98472,                0.87804,                0.00678,                0.53231,                0.96102,               0.002129,               0.002129,               0.002129
                    118,                0.00849,                 1.0428,                 1.1792,                0.99319,                0.97254,                0.98449,                0.87941,                0.00675,                0.53257,                0.96102,              0.0021043,              0.0021043,              0.0021043
                    119,                0.00853,                 1.0619,                 1.1917,                0.99319,                0.97254,                0.98452,                0.87893,                0.00674,                0.53253,                0.96231,              0.0020795,              0.0020795,              0.0020795
                    120,                0.00842,                  1.034,                   1.18,                0.99319,                0.97254,                0.98461,                0.87944,                0.00672,                 0.5281,                0.96203,              0.0020548,              0.0020548,              0.0020548
                    121,                 0.0084,                 1.0378,                 1.1725,                0.99319,                0.97199,                0.98434,                0.88073,                 0.0067,                0.52831,                0.96149,                0.00203,                0.00203,                0.00203
                    122,                0.00846,                 1.0489,                 1.1755,                 0.9932,                0.97261,                0.98473,                0.88038,                0.00669,                0.52601,                0.96171,              0.0020053,              0.0020053,              0.0020053
                    123,                 0.0084,                 1.0354,                 1.1723,                 0.9932,                0.97261,                0.98479,                0.88199,                0.00667,                 0.5251,                0.96176,              0.0019805,              0.0019805,              0.0019805
                    124,                0.00833,                 1.0343,                 1.1752,                 0.9932,                0.97261,                0.98482,                0.88092,                0.00665,                0.52262,                0.96161,              0.0019558,              0.0019558,              0.0019558
                    125,                0.00837,                  1.034,                  1.179,                 0.9932,                0.97261,                0.98485,                0.88141,                0.00663,                0.52216,                0.96124,               0.001931,               0.001931,               0.001931
                    126,                 0.0084,                  1.034,                  1.172,                 0.9932,                0.97261,                0.98485,                0.88208,                0.00662,                0.52029,                0.96044,              0.0019062,              0.0019062,              0.0019062
                    127,                 0.0084,                 1.0236,                 1.1727,                 0.9939,                0.97214,                0.98464,                 0.8822,                0.00661,                0.52003,                0.95975,              0.0018815,              0.0018815,              0.0018815
                    128,                0.00829,                 1.0115,                 1.1687,                0.99319,                0.97152,                0.98432,                0.88206,                0.00659,                0.51879,                0.95969,              0.0018568,              0.0018568,              0.0018568
                    129,                0.00836,                 1.0274,                 1.1769,                 0.9939,                0.97214,                0.98462,                0.88305,                0.00659,                0.51804,                0.95974,               0.001832,               0.001832,               0.001832
                    130,                0.00834,                   1.01,                 1.1618,                 0.9939,                0.97214,                0.98462,                0.88349,                0.00658,                 0.5159,                0.95931,              0.0018073,              0.0018073,              0.0018073
